time;program;event;period;
21568.251206;burner;cycles;2963516;
21568.251532;burner;cycles;2962965;
21568.251728;burner;branches;1215459;
21568.251759;burner;task-clock;1000000;
21568.25176;burner;branches;1215100;
21568.251801;burner;instructions;5032342;
21568.251845;burner;task-clock;1000000;
21568.251932;swapper;task-clock;1000000;
21568.252153;burner;instructions;5033448;
21568.252204;burner;cycles;2964356;
21568.252527;burner;cycles;2963831;
21568.252712;burner;branches;1214777;
21568.252744;burner;branches;1215752;
21568.252759;burner;task-clock;1000000;
21568.252787;burner;instructions;5028610;
21568.252845;burner;task-clock;1000000;
21568.252933;swapper;task-clock;1000000;
21568.253139;burner;instructions;5034851;
21568.253198;burner;cycles;2964860;
21568.253536;burner;cycles;2965957;
21568.253714;burner;branches;1217187;
21568.253746;burner;branches;1218230;
21568.253758;burner;task-clock;1000000;
21568.25379;burner;instructions;5037589;
21568.253845;burner;task-clock;1000000;
21568.253932;swapper;task-clock;1000000;
21568.254143;burner;instructions;5043749;
21568.25421;burner;cycles;2967041;
21568.254531;burner;cycles;2962464;
21568.2547;burner;branches;1216917;
21568.254733;burner;branches;1217978;
21568.254758;burner;task-clock;1000000;
21568.254777;burner;instructions;5035800;
21568.254845;burner;task-clock;1000000;
21568.254932;swapper;task-clock;1000000;
21568.25513;burner;instructions;5041533;
21568.255205;burner;cycles;2962911;
21568.255528;burner;cycles;2964358;
21568.255694;burner;branches;1219578;
21568.255728;burner;branches;1220749;
21568.255758;burner;task-clock;1000000;
21568.255771;burner;instructions;5045669;
21568.255845;burner;task-clock;1000000;
21568.255932;swapper;task-clock;1000000;
21568.256126;burner;instructions;5051678;
21568.256201;burner;cycles;2964700;
21568.256521;burner;cycles;2965649;
21568.256681;burner;branches;1220500;
21568.256715;burner;branches;1221500;
21568.256757;burner;instructions;5048964;
21568.256759;burner;task-clock;1000000;
21568.256845;burner;task-clock;1000000;
21568.256932;swapper;task-clock;1000000;
21568.257114;burner;instructions;5054381;
21568.257196;burner;cycles;2965893;
21568.257686;burner;branches;1222497;
21568.257717;burner;branches;1223441;
21568.257758;burner;task-clock;1000000;
21568.257765;burner;instructions;5058005;
21568.257845;burner;task-clock;1000000;
21568.257932;swapper;task-clock;1000000;
21568.258118;burner;instructions;5061703;
21568.258673;burner;branches;1221774;
21568.258705;burner;branches;1223082;
21568.258751;burner;instructions;5053373;
21568.258758;burner;task-clock;1000000;
21568.258845;burner;task-clock;1000000;
21568.258932;swapper;task-clock;1000000;
21568.259106;burner;instructions;5059548;
21568.259667;burner;branches;1224434;
21568.259712;burner;branches;1225524;
21568.259745;burner;instructions;5064642;
21568.259758;burner;task-clock;1000000;
21568.259845;burner;task-clock;1000000;
21568.259932;swapper;task-clock;1000000;
21568.260114;burner;instructions;5068832;
21568.260655;burner;branches;1225371;
21568.260702;burner;branches;1224439;
21568.260734;burner;instructions;5068183;
21568.260758;burner;task-clock;1000000;
21568.260845;burner;task-clock;1000000;
21568.260932;swapper;task-clock;1000000;
21568.261104;burner;instructions;5064187;
21568.261663;burner;branches;1227138;
21568.261707;burner;branches;1226090;
21568.261758;burner;task-clock;1000000;
21568.261845;burner;task-clock;1000000;
21568.261932;swapper;task-clock;1000000;
21568.262651;burner;branches;1226017;
21568.262694;burner;branches;1225300;
21568.262758;burner;task-clock;1000000;
21568.262845;burner;task-clock;1000000;
21568.262932;swapper;task-clock;1000000;
21568.263654;burner;branches;1228342;
21568.26369;burner;branches;1227442;
21568.263758;burner;task-clock;1000000;
21568.263845;burner;task-clock;1000000;
21568.263932;swapper;task-clock;1000000;
21568.264645;burner;branches;1228009;
21568.26468;burner;branches;1228065;
21568.264758;burner;task-clock;1000000;
21568.264844;burner;task-clock;1000000;
21568.264932;swapper;task-clock;1000000;
21568.265759;burner;task-clock;1000000;
21568.265845;burner;task-clock;1000000;
21568.265932;swapper;task-clock;1000000;
21568.266759;burner;task-clock;1000000;
21568.266845;burner;task-clock;1000000;
21568.266932;swapper;task-clock;1000000;
21568.267455;InputThread;cpu-migrations;1;
21568.267759;burner;task-clock;1000000;
21568.267845;burner;task-clock;1000000;
21568.267932;swapper;task-clock;1000000;
21568.268739;Xorg;branches;352523;
